Dmoj_trans,Final_verdict
Dmoj_GI12761_Rpl28,FBgn0135518
Dmoj_GI14554_a5,FBgn0137305
Dmoj_GI14872_a10,FBgn0137623
Dmoj_GI15202_Rpl17,FBgn0137951
Dmoj_GI15312_Act5C,FBgn0138061
Dmoj_GI18790_lack,FBgn0141529
Dmoj_GI19595_Act42A,FBgn0142332
Dmoj_GI21963_smi21F,FBgn0144692
Dmoj_GI23390_Rpl32,FBgn0146116
Dmoj_GI23698_Rpl3,FBgn0146424
Dmoj_GI24311_Rpl4,FBgn0147034
Dmoj_Obp50c,FBgn0143015
DmojGI10414_PA_Obp99d,FBgn0133178
DmojGI11546_PA_Ir76b,FBgn0134306
DmojGI11641_PA_Ir76a,FBgn0134401
DmojGI12129_PA_Ir64a,FBgn0134886
DmojGI13005_PA_Pbprp1_Obp69a,FBgn0135762
DmojGI13512_PA_LUSH_Obp76a,FBgn0136267
DmojGI13612_PA_Ir75a,FBgn0136367
DmojGI13706_PA_Ir68a,FBgn0136461
DmojGI14312_PA_Ir21a,FBgn0137065
DmojGI15510_PA_Obp8a,FBgn0138259
DmojGI16240_PA_Obp19c,FBgn0138989
DmojGI16307_PA_Obp19a,FBgn0139055
DmojGI16308_PA_Obp19b,FBgn0139056
DmojGI16309_PA_Pbprp2_Obp19d,FBgn0139057
DmojGI17488_PA_Pbprp5_Obp28a,FBgn0140232
DmojGI18170_PA_Ir31a,FBgn0140909
DmojGI18346_PA_Ir60a,FBgn0141085
DmojGI18535_PA_Obp56g,FBgn0141274
DmojGI18539_PA_Obp56b,FBgn0141278
DmojGI18883_PA_Ir41a,FBgn0141622
DmojGI19231_PA_Obp58c,FBgn0141970
DmojGI19254_PA_Obp50e,FBgn0141993
DmojGI19255_PA_Obp50a,FBgn0141994
DmojGI19754_PA_Obp47a,FBgn0142491
DmojGI19873_PA_Obp47b,FBgn0142610
DmojGI19915_PA_Obp49a,FBgn0142652
DmojGI20206_PA_Obp46a,FBgn0142942
DmojGI20270_PA_Obp44a,FBgn0143006
DmojGI20312_PA_Obp59a,FBgn0143048
DmojGI20314_PA_Obp58b,FBgn0143050
DmojGI20315_PA_Obp58d,FBgn0143051
DmojGI21042_PA_Ir25a,FBgn0143774
DmojGI21082_PA_Obp56a,FBgn0143814
DmojGI21087_PA_Obp56h,FBgn0143819
DmojGI22152_PA_Ir93a,FBgn0144881
DmojGI22230_PA_Ir92a,FBgn0144958
DmojGI22335_PA_Obp99b,FBgn0145063
DmojGI23179_PA_Obp83g,FBgn0145906
DmojGI23180_PA_Obp83ef,FBgn0145907
DmojGI23188_PA_Pbprp3_Obp83a,FBgn0145915
DmojGI23406_PA_Obp99a,FBgn0146132
DmojGI23493_PA_Pbprp4_Obp84a,FBgn0146219
DmojGI24118_PA_Ir84a,FBgn0146841
DmojGI24193_PA_Obp99c,FBgn0146916
DmojGr10aGI14894,FBgn0137645
DmojGr21aGI21835,FBgn0144564
DmojGr22e,FBgn0136503
DmojGr23aA,FBgn0140613
DmojGr28aGI17782,FBgn0140523
DmojGr28bA,FBgn0140522
DmojGr28bC,FBgn0281654
DmojGr2aGI15700,FBgn0138449
DmojGr32aGI17070,FBgn0139815
DmojGr33aGI16818,FBgn0139565
DmojGr39aGI12187,FBgn0280723
DmojGr39bGI14511,FBgn0137263
DmojGr43aGI20824,FBgn0143559
DmojGr43bGI11499,FBgn0134238
DmojGr47bGI18559,FBgn0141298
DmojGr57aGI19843,FBgn0142580
DmojGr58bGI20768,FBgn0143503
DmojGr58cGI18812,FBgn0141551
DmojGr59bL1,FBgn0143920
DmojGr59dL1,FBgn0143598
DmojGr59dL2,FBgn0143867
DmojGr59dL3,FBgn0143866
DmojGr59eGI19624,FBgn0142361
DmojGr59fGI19924,FBgn0281655
DmojGr5aGI16250,FBgn0138999
DmojGr61aGI11424,FBgn0134185
DmojGr63aGI12801,FBgn0135558
DmojGr64aGI13880,FBgn0136634
DmojGr64bGI13881,FBgn0136635
DmojGr64c,FBgn0136636
DmojGr64eGI13883,FBgn0136637
DmojGr64fGI13884,FBgn0136638
DmojGr66aGI12983,FBgn0135740
DmojGr68a,FBgn0281372
DmojGr77aGI11893,FBgn0134651
DmojGr85a1GI23106,FBgn0145833
DmojGr85a5,FBgn0281414
DmojGr89a,FBgn0133157
DmojGr8aGI14300,FBgn0137053
DmojGr93aGI24744,FBgn0147466
DmojGr93cL1,FBgn0145587
DmojGr93cL2,FBgn0145585
DmojGr93cL3,FBgn0145584
DmojGr93cL4,FBgn0145583
DmojGr94aGI22003,FBgn0144732
DmojGr97aGI23297,FBgn0146024
DmojGr98a2,FBgn0147283
DmojGr98aGI24562,FBgn0147284
DmojGr98bGI23037,FBgn0145764
DmojGr9aGI10935,FBgn0133698
DmojIR40a,FBgn0140236
DmojIR75b,FBgn0136366
DmojIR75c,FBgn0136365
DmojIR75d.1,FBgn0134584
DmojIR75d.2,FBgn0134585
DmojIr8a,FBgn0137219
DmojObp18a,FBgn0280969
DmojObp56c,FBgn0141277
DmojObp56d,FBgn0141276
DmojObp56eL1-1,FBgn0143815
DmojObp56eL1-2,FBgn0281054
DmojObp57c,FBgn0141412
DmojObp57cL1,FBgn0143676
DmojObp73a,FBgn0136025
DmojObp83abL1,FBgn0145913
DmojObp85a,FBgn0146406
DmojObp93a,FBgn0146451
DmojOr10a,FBgn0137644
DmojOr13a,FBgn0280772
DmojOr19ab,FBgn0137558
DmojOr1a,FBgn0137587
DmojOr22ab,FBgn0139827
DmojOr22c,FBgn0140985
DmojOr23a_1_17868,FBgn0140609
DmojOr23a_2,FBgn0140610
DmojOr24a,FBgn0137950
DmojOr2a,FBgn0144529
DmojOr30a,FBgn0140206
DmojOr33c,FBgn0147482
DmojOr35a,FBgn0145291
DmojOr42a_1,FBgn0142684
DmojOr42a_2,FBgn0142672
DmojOr42b,FBgn0142338
DmojOr43a,FBgn0142782
DmojOr45b,FBgn0142624
DmojOr46a_GI19316,FBgn0142054
DmojOr47b_2,FBgn0142410
DmojOr47b_GI19867,FBgn0142604
DmojOr49a,FBgn0141796
DmojOr49b,FBgn0142049
DmojOr56a,FBgn0141275
DmojOr59a,FBgn0141759
DmojOr59b,FBgn0141758
DmojOr63a,FBgn0134167
DmojOr65a,FBgn0134853
DmojOr67a_1,FBgn0140336
DmojOr67a_2,FBgn0140337
DmojOr67b,FBgn0134837
DmojOr67c,FBgn0136598
DmojOr67d,FBgn0134224
DmojOr69a,FBgn0136391
DmojOr71a,FBgn0280754
DmojOr74a,FBgn0135651
DmojOr82a,FBgn0133612
DmojOr83a,FBgn0146372
DmojOr83b,FBgn0146369
DmojOr83c_1,FBgn0140790
DmojOr83c_2,FBgn0144788
DmojOr85a_1,FBgn0281527
DmojOr85a_2,FBgn0145990
DmojOr85c_1,FBgn0146404
DmojOr85c_2,FBgn0281294
DmojOr85d,FBgn0146641
DmojOr85e,FBgn0133001
DmojOr85f,FBgn0146728
DmojOr88a,FBgn0146068
DmojOr92a,FBgn0144459
DmojOr94a,FBgn0144729
DmojOr94b,FBgn0144730
DmojOr98a_1,FBgn0145486
DmojOr98a_2,FBgn0135976
DmojOr98a_GI11402,FBgn0134163
DmojOr9a,FBgn0138140
DmojOrN1,FBgn0139490
DmojOrN2_1,FBgn0146976
DmojOrN2_2,FBgn0281823
DmojOrN2_5,FBgn0146054
